,job_role,filing,salaries,date_posted,needed_date_range,location,posting_url
115,Software Development Engineer,6115271,$141000 ,"March 7, 2022",7-20-2022 to 7-19-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6115271/
116,Manufacturing Design Engineer,6123389,$124044 ,"March 7, 2022",7-20-2022 to 7-19-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6123389/
117,Product Design Engineer,6159103,$120000 ,"March 7, 2022",3-14-2022 to 3-13-2025,"Sunnyvale, CA",https://app-post.net/index.php/noticeoffiling-c6159103/
118,AR/VR Software Development Engineer (15-1133),6374462,$208450 ,"March 5, 2022",3-7-2022 to 3-6-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6374462/
119,"SoC Physical Design Engineer, PnR",6365489,$175000 ,"March 4, 2022",9-1-2022 to 8-31-2025,"Sunnyvale, CA",https://app-post.net/index.php/notice-of-filing-6365489/
120,AR/VR Software Development Engineer ,6225792,$200000 ,"March 4, 2022",3-10-2022 to 3-9-2025,"Elk Grove, CA",https://app-post.net/index.php/noticeoffiling-c6225792/
121,Software Development Engineer Manager,6084647,$194414 ,"March 4, 2022",3-14-2022 to 3-13-2025,"San Diego, CA",https://app-post.net/index.php/noticeoffiling-c6084647/
122,Engineering Project Manager,6389598,$140000 ,"March 4, 2022",3-14-2022 to 3-13-2025,"Seattle, WA and Broomfield, CO",https://app-post.net/index.php/noticeoffiling-c6389598/
123,Software Development Engineer,6377053,$190000 ,"March 4, 2022",3-14-2022 to 3-13-2025,"Cupertino, CA and San Diego, CA",https://app-post.net/index.php/notice-of-filing-6377053/
124,Software Development Engineer – Test,6372347,$197000 ,"March 4, 2022",3-14-2022 to 3-13-2025,"San Diego, CA",https://app-post.net/index.php/notice-of-filing-6372347/
125,Software Development Engineer – Test,6372359,$177000 ,"March 4, 2022",3-10-2022 to 3-9-2025,"Seattle, WA",https://app-post.net/index.php/notice-of-filing-6372359/
126,Software Development Engineer – Applications,6225718,$176891 ,"March 4, 2022",8-31-2022 to 8-30-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c-6225718/
127,Software Development Engineer – Systems,6225711,$177376 ,"March 4, 2022",3-7-2022 to 3-6-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6225711/
128,Machine Learning Research Manager,6084546,$187637 ,"March 4, 2022",8-31-2022 to 8-30-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6084546/
129,Software Development Engineer – Firmware,6225707,$212357 ,"March 4, 2022",8-31-2022 to 8-30-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6225707/
130,Data Scientist,6225796,$183856 ,"March 4, 2022",8-31-2022 to 8-30-2025,"Sunnyvale, CA",https://app-post.net/index.php/noticeoffiling-c6225796/
131,Software Development Engineer ,6225767,$188000 ,"March 4, 2022",3-14-2022 to 3-13-2025,"Seattle, WA",https://app-post.net/index.php/noticeoffiling-c6225767/
132,HI Designer,6380476,$200000 ,"March 4, 2022",3-14-2022 to 3-13-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6380476/
133,Manufacturing Quality Engineer,6380561,$141500 ,"March 4, 2022",3-14-2022 to 3-13-2025,"Cupertino, CA and Secaucus, NJ",https://app-post.net/index.php/noticeoffiling-c6380561/
134,Manufacturing Quality Engineer,6380574,$150000 ,"March 4, 2022",3-14-2022 to 3-13-2025,"Cupertino, CA and Indianapolis, IN",https://app-post.net/index.php/noticeoffiling-c6380574/
135,Engineering Project Manager,6386727,$155000 ,"March 4, 2022",3-14-2022 to 3-13-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6386727/
136,Software Development Engineer – Systems,6386410,$179000 ,"March 4, 2022",03-14-2022 to 03-13-2025,"Seattle, WA",https://app-post.net/index.php/noticeoffiling-c6386410/
137,Software Integrity Engineer,6352267,$170000 ,"March 4, 2022",8-30-2022 to 8-29-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6352267/
138,Engineering Project Manager,6156806,$168200 ,"March 4, 2022",8-30-2022 to 8-29-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6156806/
139,Engineering Project Manager ,6152135,$169085 ,"March 4, 2022",3-7-2022 to 3-6-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6152135/
140,Software Development Engineer – Applications Manager,6084412,$251000 ,"March 4, 2022",9-03-2022 to 9-02-2025,"Sunnyvale, CA",https://app-post.net/index.php/noticeoffiling-c6084412/
141,Business Systems Analyst,6199233,$157850 ,"March 4, 2022",9-01-2022 to 8-31-2025,"Sunnyvale, CA",https://app-post.net/index.php/noticeoffiling-c6199233/
142,Tools &Automation Engineer,6225757,$166291 ,"March 4, 2022",3-13-2022 to 3-12-2025,"San Diego, CA",https://app-post.net/index.php/noticeoffiling-c6225757/
143,Configuration/Release Engineer ,6199275,$147725 ,"March 3, 2022",8-19-2022 TO 8-18-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6199275/
144,Product Design Engineer,6131058,$154112 ,"March 3, 2022",03-07-2022 to 03-08-2025,"San Diego, CA",https://app-post.net/index.php/notice-of-filing-c6131058-2/
145,Software Development Engineer – Test,6359246,$165000 ,"March 3, 2022",7-1-2022 to 6-30-2025,"Sunnyvale, CA",https://app-post.net/index.php/notice-of-filing-6359246/
146,"Project Manager, Client Services",6024766,$151245 ,"March 3, 2022",03-7-2022 to 03-6-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6024766/
147,Software Development Engineer – Systems Manager,6355885,$215000 ,"March 3, 2022",3-17-2022 to 3-16-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-6355885/
148,Reliability Engineer,6084457,$177777 ,"March 3, 2022",8-30-2022 to 8-29-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c-6084457/
149,Hardware Development Engineer,6219954,$190345 ,"March 3, 2022",9-2-2022 to 9-1-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6219954/
150,Tools &Automation Engineer,6158560,$150000 ,"March 3, 2022",9-2-2022 to 9-1-2025,"Austin, TX",https://app-post.net/index.php/notice-of-filing-c6158560/
151,Implementation Engineer (17-2072),6352016,$170775 ,"March 3, 2022",3-14-2022 to 3-13-2025,"Cupertino, CA and San Diego, CA",https://app-post.net/index.php/noticeoffiling-c6352016/
152,Software Development Systems Engineer,6363295,$135000 ,"March 3, 2022",9-2-2022 to 9-1-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6363295/
153,Design Verification Engineer,6156797,$206139 ,"March 3, 2022",7-29-2022 to 7-28-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6156797/
154,Software Development Engineer – Firmware,6086207,$212000 ,"March 3, 2022",3-17-2022 to 3-16-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6086207-2/
155,Manufacturing Quality Engineer Manager,6084502,$198475 ,"March 3, 2022",7-29-2022 to 7-28-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6084502/
156,Software Development Engineer – Firmware,6086207,$212000 ,"March 3, 2022",3-14-2022 to 3-13-2025,"Austin, TX",https://app-post.net/index.php/noticeoffiling-c6086207/
157,Technical Program Manager,6380546,$125000 ,"March 3, 2022",3-14-2022 to 3-13-2024,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6380546/
158,Software Development Engineer (27-1024),6329005,$187833 ,"March 3, 2022",3-14-2022 to 3-13-2025,"San Diego, CA and Houston, TX",https://app-post.net/index.php/noticeoffiling-c6329005/
159,Hardware Development Engineer,6380518,$140000 ,"March 3, 2022",3-13-2022 to 3-12-2025,"Sunnyvale, CA",https://app-post.net/index.php/noticeoffiling-c6380518/
160,Business Systems Analyst (13-1111),6300822,$154734 ,"March 2, 2022",3-14-2022 to 3-13-2025,"Seattle, WA",https://app-post.net/index.php/noticeoffiling-c6300822/
161,Software Development Engineer – Applications,6380441,$210000 ,"March 2, 2022",3-14-2022 to 3-13-2025,"Seattle, WA",https://app-post.net/index.php/noticeoffiling-c6380441/
162,Software Development Engineer – Applications,6371665,$160000 ,"March 2, 2022",03-14-2022 to 03-13-2025,"New York, NY and Pittsburgh, PA",https://app-post.net/index.php/noticeoffiling-c6371665/
163,Machine Learning Engineer,6286453,$163000 ,"March 2, 2022",3-14-2022 to 3-13-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6286453/
164,Machine Learning Manager (11-3021),6084555,$211000 ,"March 2, 2022",03-14-2022 to 03-13-2025,"Cupertino, CA and West Henrietta, NY",https://app-post.net/index.php/noticeoffiling-c6084555/
165,Hardware Development Engineer,6356086,$160000 ,"March 2, 2022",3-14-2022 to 3-13-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6356086/
166,Marketing Specialist (15-2031),6305259,$132596 ,"March 2, 2022",3-7-2022 to 3-6-2025,"Seattle, WA",https://app-post.net/index.php/noticeoffilinf-c6305259/
167,Software Development Engineer,6368540,$160000 ,"March 2, 2022",3-7-2022 to 3-6-2025,"Austin, TX",https://app-post.net/index.php/notice-of-filing-6368540/
168,PC Board Designer,6332942,$152580 ,"March 2, 2022",9-1-2022 to 8-31-2025,"Sunnyvale, CA",https://app-post.net/index.php/noticeoffiling-c6332942/
169,Software Development Engineer – Applications,6225773,$206600 ,"March 2, 2022",9-1-2022 to 8-31-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6225773/
170,FE Engineer,6225712,$211573 ,"March 2, 2022",9-1-2022 to 8-31-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6225712/
171,Tools &Automation Engineer,6206267,$179500 ,"March 2, 2022",3-7-2022 to 03-8-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6206267/
172,Software Development Engineer – Systems,6359408,$165000 ,"March 2, 2022",5-1-2022 to 4-30-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-6359408/
173,Production Services Engineer,5909928,$181598 ,"March 2, 2022",3-7-2022 to 3-6-2025,"Cupertino, CA",https://app-post.net/index.php/nof-c5909928/
174,Software Development Engineer,6368559,$197400 ,"March 2, 2022",3-14-2022 to 3-13-2025,"Seattle, WA",https://app-post.net/index.php/notice-of-filing-6368559/
175,Production Services Engineer,6377037,$163000 ,"March 2, 2022",3-14-2022 to 3-13-2025,"Austin, TX",https://app-post.net/index.php/notice-of-filing-6377037/
176,Production Services Engineer,6372326,$120000 ,"March 2, 2022",8-19-2022 to 8-18-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-6372326/
177,Software Development Engineer (15-1132),6131067,$223000 ,"March 2, 2022",3-14-2022 to 3-13-2025,"Cupertino, CA",https://app-post.net/index.php/nof-c6131067/
178,Supply Chain Program Manager (11-3051),6084438,$177431 ,"March 2, 2022",3-14-2022 to 3-13-2025,"San Diego, CA",https://app-post.net/index.php/nof-c6084438/
179,Software Integrity Engineer (17-2072),6305277,$157795 ,"March 2, 2022",3-14-2022 to 3-13-2025,"Cupertino, CA and Redmond, WA",https://app-post.net/index.php/nof-c6305277/
